"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"Gender_Schools_Model.nlogox"
"GenderSegregationExperiment"
"06/10/2026 12:20:34:195 +0300"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","kappa","delta","[step]","(total-female-all / (total-male-all + total-female-all)) * 100"
"4","-2","0.7","39","20.666666666666668"
"2","-2","0.7","39","24.666666666666668"
"3","-2","0.7","39","24"
"1","-2","0.7","39","22.666666666666664"
"6","-2","0.7","39","21.333333333333336"
"5","-2","0.7","39","24"
"8","-2","0.7","39","20.666666666666668"
"7","-2","0.7","39","22.666666666666664"
"10","-2","0.7","39","22"
"9","-2","0.7","39","24"
"11","-2","0.7","39","24"
"14","-2","0.7","39","22.666666666666664"
"13","-2","0.7","39","22.666666666666664"
"12","-2","0.7","39","24"
"15","-2","0.7","39","22.666666666666664"
"16","-2","0.7","39","24"
"17","-2","0.7","39","26"
"18","-2","0.7","39","24.666666666666668"
"19","-2","0.7","39","22.666666666666664"
"20","-2","0.7","39","22"
"21","-2","0.8","39","23.333333333333332"
"22","-2","0.8","39","25.333333333333336"
"23","-2","0.8","39","28.666666666666668"
"24","-2","0.8","39","25.333333333333336"
"25","-2","0.8","39","24.666666666666668"
"26","-2","0.8","39","26"
"27","-2","0.8","39","27.333333333333332"
"28","-2","0.8","39","25.333333333333336"
"29","-2","0.8","39","29.333333333333332"
"30","-2","0.8","39","28.666666666666668"
"31","-2","0.8","39","25.333333333333336"
"32","-2","0.8","39","26.666666666666668"
"33","-2","0.8","39","26.666666666666668"
"34","-2","0.8","39","28.666666666666668"
"35","-2","0.8","39","27.333333333333332"
"36","-2","0.8","39","27.333333333333332"
"37","-2","0.8","39","26"
"38","-2","0.8","39","24.666666666666668"
"40","-2","0.8","39","27.333333333333332"
"39","-2","0.8","39","28.000000000000004"
"41","-2","0.9","39","32.666666666666664"
"42","-2","0.9","39","27.333333333333332"
"43","-2","0.9","39","32"
"44","-2","0.9","39","32"
"45","-2","0.9","39","30.666666666666664"
"46","-2","0.9","39","28.666666666666668"
"47","-2","0.9","39","30.666666666666664"
"49","-2","0.9","39","26.666666666666668"
"48","-2","0.9","39","30"
"50","-2","0.9","39","34.66666666666667"
"51","-2","0.9","39","32.666666666666664"
"52","-2","0.9","39","29.333333333333332"
"53","-2","0.9","39","34"
"54","-2","0.9","39","28.666666666666668"
"55","-2","0.9","39","28.666666666666668"
"56","-2","0.9","39","29.333333333333332"
"57","-2","0.9","39","30.666666666666664"
"58","-2","0.9","39","29.333333333333332"
"59","-2","0.9","39","30.666666666666664"
"60","-2","0.9","39","30.666666666666664"
"62","-2","1","39","29.333333333333332"
"61","-2","1","39","34.66666666666667"
"63","-2","1","39","34.66666666666667"
"64","-2","1","39","34.66666666666667"
"65","-2","1","39","34.66666666666667"
"66","-2","1","39","35.333333333333336"
"67","-2","1","39","34"
"68","-2","1","39","32.666666666666664"
"69","-2","1","39","30.666666666666664"
"70","-2","1","39","35.333333333333336"
"71","-2","1","39","35.333333333333336"
"72","-2","1","39","34"
"73","-2","1","39","31.333333333333336"
"74","-2","1","39","34"
"75","-2","1","39","31.333333333333336"
"76","-2","1","39","32.666666666666664"
"77","-2","1","39","33.33333333333333"
"78","-2","1","39","34.66666666666667"
"79","-2","1","39","29.333333333333332"
"80","-2","1","39","34.66666666666667"
"81","-2","1.1","39","40"
"83","-2","1.1","39","35.333333333333336"
"82","-2","1.1","39","39.33333333333333"
"84","-2","1.1","39","37.333333333333336"
"85","-2","1.1","39","36.666666666666664"
"86","-2","1.1","39","40"
"87","-2","1.1","39","33.33333333333333"
"88","-2","1.1","39","37.333333333333336"
"89","-2","1.1","39","35.333333333333336"
"90","-2","1.1","39","36.666666666666664"
"91","-2","1.1","39","34.66666666666667"
"92","-2","1.1","39","40.666666666666664"
"93","-2","1.1","39","36.666666666666664"
"94","-2","1.1","39","36"
"95","-2","1.1","39","40"
"96","-2","1.1","39","38"
"97","-2","1.1","39","38.666666666666664"
"98","-2","1.1","39","40"
"99","-2","1.1","39","38.666666666666664"
"100","-2","1.1","39","37.333333333333336"
"101","-2","1.2","39","42.66666666666667"
"102","-2","1.2","39","42"
"104","-2","1.2","39","43.333333333333336"
"103","-2","1.2","39","42.66666666666667"
"105","-2","1.2","39","40.666666666666664"
"106","-2","1.2","39","40"
"107","-2","1.2","39","41.333333333333336"
"108","-2","1.2","39","41.333333333333336"
"110","-2","1.2","39","41.333333333333336"
"109","-2","1.2","39","42"
"111","-2","1.2","39","40.666666666666664"
"112","-2","1.2","39","41.333333333333336"
"113","-2","1.2","39","41.333333333333336"
"114","-2","1.2","39","42.66666666666667"
"115","-2","1.2","39","40"
"118","-2","1.2","39","41.333333333333336"
"117","-2","1.2","39","40.666666666666664"
"116","-2","1.2","39","41.333333333333336"
"119","-2","1.2","39","40.666666666666664"
"120","-2","1.2","39","46.666666666666664"
"121","-2","1.3","39","45.33333333333333"
"122","-2","1.3","39","42.66666666666667"
"123","-2","1.3","39","44.666666666666664"
"124","-2","1.3","39","44.666666666666664"
"125","-2","1.3","39","46"
"126","-2","1.3","39","48"
"127","-2","1.3","39","46.666666666666664"
"128","-2","1.3","39","45.33333333333333"
"129","-2","1.3","39","42.66666666666667"
"130","-2","1.3","39","47.333333333333336"
"131","-2","1.3","39","45.33333333333333"
"132","-2","1.3","39","45.33333333333333"
"133","-2","1.3","39","50.66666666666667"
"134","-2","1.3","39","45.33333333333333"
"135","-2","1.3","39","46.666666666666664"
"137","-2","1.3","39","46.666666666666664"
"136","-2","1.3","39","46.666666666666664"
"138","-2","1.3","39","43.333333333333336"
"139","-2","1.3","39","46.666666666666664"
"140","-2","1.3","39","46.666666666666664"
"141","-1.5","0.7","39","26"
"144","-1.5","0.7","39","24"
